hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,cluster,tsne_1,tsne_2,index,station_id,name,lat,lon,capacity,station_code,_dlt_load_id,_dlt_id,rental_methods
0.311,0.302,0.302,0.311,0.332,0.334,0.336,0.343,0.412,0.683,0.812,0.853,0.878,0.896,0.883,0.874,0.871,0.827,0.677,0.536,0.496,0.454,0.383,0.31,4,28.66283,-29.287724,1087.0,6245,Ventadour - Opéra,48.866810653323,2.3343884482519,27.0,1116,1745738711.4785318,LFb+0AYnVjTK0Q,CREDITCARD
0.255,0.246,0.24,0.238,0.237,0.237,0.254,0.31,0.361,0.571,0.778,0.808,0.807,0.803,0.809,0.802,0.764,0.674,0.467,0.294,0.277,0.253,0.226,0.195,4,15.228458,-31.649714,1081.0,6293,Mairie du 2ème,48.8672190355135,2.3404625437747044,28.0,2008,1745738711.4785318,dnbYHcmD3Xpx6A,
0.382,0.352,0.333,0.321,0.316,0.32,0.349,0.424,0.646,0.848,0.858,0.84,0.753,0.79,0.823,0.804,0.735,0.628,0.508,0.49,0.557,0.542,0.488,0.438,4,23.73132,-24.438082,779.0,6294,Marché aux fleurs,48.855258115391,2.3473754525185,23.0,4002,1745738711.4785318,SuRVITSJ/OrSSw,CREDITCARD
0.616,0.599,0.581,0.562,0.556,0.554,0.564,0.565,0.46,0.425,0.539,0.659,0.748,0.747,0.748,0.767,0.78,0.799,0.834,0.852,0.842,0.814,0.69,0.623,2,43.37094,-8.474287,745.0,6295,Pontoise - La Tournelle,48.850458009188,2.3524542754922,23.0,5107,1745738711.4785318,YEUOjZBfMb6KGg,CREDITCARD
0.405,0.398,0.393,0.39,0.388,0.391,0.387,0.387,0.479,0.788,0.925,0.935,0.911,0.902,0.935,0.927,0.878,0.758,0.561,0.487,0.476,0.468,0.432,0.406,4,25.848711,-27.424105,92.0,6296,Institut de France,48.857615678565,2.3358313530377,17.0,6001,1745738711.4785318,SuhxHl1CGqHk4g,CREDITCARD
0.263,0.207,0.18,0.166,0.15,0.141,0.14,0.129,0.114,0.113,0.135,0.153,0.156,0.17,0.19,0.18,0.179,0.2,0.244,0.341,0.474,0.574,0.519,0.401,1,-17.10215,11.124079,1132.0,6297,Victor Massé - Jean-Baptiste Pigalle,48.8811043724,2.3366955667734,18.0,9019,1745738711.4785318,llAKXyQkCLp8LA,
0.218,0.23,0.23,0.242,0.271,0.275,0.276,0.286,0.24,0.133,0.105,0.1,0.078,0.075,0.079,0.079,0.08,0.087,0.102,0.122,0.118,0.125,0.158,0.197,1,-38.279644,-1.936634,920.0,6298,Gare du Nord - Saint-Vincent de Paul,48.880955741648,2.3524305148385,24.0,10033,1745738711.4785318,jbUPqkzcj6FYkA,
0.442,0.397,0.365,0.353,0.357,0.362,0.368,0.364,0.412,0.516,0.675,0.736,0.767,0.821,0.831,0.857,0.856,0.829,0.776,0.79,0.788,0.743,0.647,0.552,2,36.83277,-18.080816,1072.0,6352,Saint-Bon - Rivoli,48.857999643315,2.3502172809763,19.0,4018,1745738711.4785318,Vjp3unj8MLWLkw,
0.48,0.501,0.522,0.538,0.54,0.538,0.522,0.51,0.506,0.471,0.448,0.43,0.409,0.396,0.393,0.391,0.389,0.388,0.38,0.402,0.425,0.425,0.426,0.449,5,10.934062,2.1673427,1213.0,6354,Gouthière - Poterne des Peupliers,48.820507,2.351342,33.0,13028,1745738711.4785318,S8wRxQdbhlUqBA,
0.415,0.439,0.466,0.486,0.471,0.467,0.443,0.38,0.237,0.128,0.122,0.118,0.106,0.11,0.119,0.122,0.149,0.181,0.235,0.303,0.342,0.399,0.413,0.415,5,-14.325907,23.706427,351.0,6385,Petit - Manin,48.88650687534334,2.3938155401308374,22.0,19019,1745738711.4785318,IJpkDCwEW9HZrg,CREDITCARD
0.373,0.423,0.452,0.462,0.468,0.466,0.472,0.431,0.265,0.145,0.11,0.088,0.08,0.075,0.096,0.097,0.1,0.11,0.146,0.209,0.264,0.324,0.325,0.333,5,-20.40561,25.782328,252.0,6399,Hautpoul - Jean Jaurès,48.886393679436,2.3865414544355,32.0,19016,1745738711.4785318,yaLIDP+4py9WNw,CREDITCARD
0.277,0.305,0.324,0.335,0.337,0.334,0.324,0.268,0.12,0.058,0.047,0.041,0.048,0.057,0.064,0.063,0.065,0.076,0.122,0.151,0.174,0.208,0.237,0.262,1,-38.25561,11.045156,1245.0,6497,Duhamel - André Gide,48.8365662244334,2.312707121097412,20.0,15027,1745738711.4785318,ubb59xBF2cK7Eg,
0.214,0.235,0.264,0.278,0.286,0.28,0.229,0.149,0.08,0.049,0.046,0.038,0.044,0.05,0.058,0.058,0.067,0.087,0.085,0.117,0.155,0.203,0.198,0.189,1,-44.382915,3.282989,449.0,6512,Porte de Ménilmontant,48.8691543609174,2.40932246879487,15.0,20027,1745738711.4785318,zCj+GmICI3oj5g,
