,cluster,hour,avg_rel_avail
0,1,0,0.2156028806584362
1,2,0,0.5572666666666667
2,3,0,0.4899868421052631
3,4,0,0.7490841121495327
4,5,0,0.3551029023746702
5,1,1,0.2209300411522633
6,2,1,0.5834156862745098
7,3,1,0.4535986842105263
8,4,1,0.7516121495327103
9,5,1,0.3691029023746702
10,1,2,0.2208333333333333
11,2,2,0.6038274509803921
12,3,2,0.409453947368421
13,4,2,0.7508177570093458
14,5,2,0.3756437994722955
15,1,3,0.2307942386831275
16,2,3,0.6237764705882353
17,3,3,0.3889868421052631
18,4,3,0.7508878504672897
19,5,3,0.387976253298153
20,1,4,0.2384567901234568
21,2,4,0.6343098039215687
22,3,4,0.3756973684210526
23,4,4,0.7442196261682243
24,5,4,0.3951266490765172
25,1,5,0.2447695473251028
26,2,5,0.6394627450980391
27,3,5,0.3695986842105263
28,4,5,0.7397616822429907
29,5,5,0.4001187335092349
30,1,6,0.2457962962962963
31,2,6,0.6389882352941176
32,3,6,0.3745065789473684
33,4,6,0.7408411214953271
34,5,6,0.4017044854881266
35,1,7,0.2433168724279835
36,2,7,0.6312117647058824
37,3,7,0.379703947368421
38,4,7,0.7400046728971962
39,5,7,0.3982691292875989
40,1,8,0.2386893004115226
41,2,8,0.6137960784313725
42,3,8,0.397407894736842
43,4,8,0.735411214953271
44,5,8,0.39088654353562
45,1,9,0.2288230452674897
46,2,9,0.5882313725490196
47,3,9,0.4370460526315789
48,4,9,0.7319392523364485
49,5,9,0.3764722955145118
50,1,10,0.2162469135802469
51,2,10,0.5530274509803921
52,3,10,0.507046052631579
53,4,10,0.7261308411214953
54,5,10,0.356263852242744
55,1,11,0.2027962962962962
56,2,11,0.5188235294117648
57,3,11,0.5776315789473684
58,4,11,0.7219158878504673
59,5,11,0.3365936675461741
60,1,12,0.188440329218107
61,2,12,0.4970941176470588
62,3,12,0.6275855263157895
63,4,12,0.7202383177570093
64,5,12,0.3192374670184696
65,1,13,0.1833251028806584
66,2,13,0.4879254901960784
67,3,13,0.6754407894736842
68,4,13,0.7249579439252336
69,5,13,0.31332981530343
70,1,14,0.1754094650205761
71,2,14,0.4707254901960784
72,3,14,0.7235986842105263
73,4,14,0.7231682242990655
74,5,14,0.3047335092348285
75,1,15,0.1647510288065843
76,2,15,0.4472823529411764
77,3,15,0.7604802631578947
78,4,15,0.714981308411215
79,5,15,0.2897915567282322
80,1,16,0.1598230452674897
81,2,16,0.4328588235294118
82,3,16,0.7801513157894737
83,4,16,0.7098271028037383
84,5,16,0.2820343007915567
85,1,17,0.1609835390946502
86,2,17,0.4336117647058823
87,3,17,0.7676381578947368
88,4,17,0.7102336448598131
89,5,17,0.284353562005277
90,1,18,0.1660576131687242
91,2,18,0.4462470588235294
92,3,18,0.7177763157894738
93,4,18,0.7105654205607477
94,5,18,0.2904722955145118
95,1,19,0.1756481481481481
96,2,19,0.4694745098039215
97,3,19,0.6585657894736843
98,4,19,0.7158457943925234
99,5,19,0.3028786279683377
100,1,20,0.1895082304526749
101,2,20,0.4960039215686274
102,3,20,0.6266315789473684
103,4,20,0.7274345794392523
104,5,20,0.320287598944591
105,1,21,0.2018827160493827
106,2,21,0.5194627450980392
107,3,21,0.6056315789473684
108,4,21,0.734626168224299
109,5,21,0.3366121372031662
110,1,22,0.2101316872427983
111,2,22,0.5375490196078431
112,3,22,0.5730526315789474
113,4,22,0.7332196261682242
114,5,22,0.3479551451187335
115,1,23,0.2171831275720164
116,2,23,0.554329411764706
117,3,23,0.5282894736842105
118,4,23,0.7278644859813085
119,5,23,0.3577941952506596
