station_id,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,cluster
6245,0.462,0.448,0.431,0.424,0.437,0.435,0.438,0.437,0.434,0.444,0.478,0.533,0.601,0.711,0.792,0.842,0.871,0.833,0.779,0.734,0.734,0.708,0.635,0.583,3
6293,0.316,0.291,0.286,0.269,0.262,0.258,0.263,0.275,0.275,0.268,0.307,0.351,0.384,0.408,0.42,0.473,0.547,0.55,0.543,0.522,0.513,0.51,0.504,0.478,5
6294,0.483,0.435,0.364,0.328,0.313,0.311,0.334,0.344,0.376,0.433,0.535,0.613,0.671,0.714,0.774,0.813,0.849,0.819,0.756,0.639,0.589,0.583,0.558,0.516,3
6295,0.738,0.714,0.631,0.603,0.586,0.581,0.581,0.576,0.572,0.608,0.696,0.728,0.746,0.773,0.78,0.807,0.864,0.886,0.848,0.774,0.79,0.797,0.785,0.748,4
6296,0.549,0.515,0.476,0.465,0.455,0.46,0.469,0.456,0.491,0.548,0.626,0.68,0.716,0.771,0.802,0.832,0.85,0.789,0.674,0.626,0.635,0.63,0.582,0.57,3
6297,0.455,0.325,0.194,0.149,0.11,0.097,0.109,0.108,0.119,0.131,0.138,0.153,0.173,0.2,0.217,0.189,0.176,0.197,0.272,0.323,0.416,0.509,0.505,0.444,1
6298,0.214,0.225,0.223,0.218,0.242,0.257,0.267,0.259,0.264,0.277,0.293,0.272,0.225,0.191,0.182,0.152,0.118,0.097,0.1,0.096,0.105,0.128,0.153,0.179,1
6352,0.555,0.488,0.383,0.325,0.312,0.301,0.304,0.309,0.3,0.322,0.429,0.638,0.77,0.855,0.911,0.923,0.922,0.881,0.811,0.698,0.64,0.612,0.582,0.527,3
6354,0.491,0.512,0.534,0.563,0.566,0.558,0.554,0.554,0.555,0.563,0.568,0.548,0.532,0.542,0.559,0.552,0.513,0.506,0.5,0.486,0.498,0.499,0.498,0.5,2
6385,0.283,0.331,0.391,0.432,0.431,0.409,0.382,0.348,0.313,0.267,0.252,0.224,0.188,0.171,0.162,0.165,0.185,0.185,0.187,0.203,0.233,0.26,0.264,0.259,5
6399,0.25,0.299,0.349,0.404,0.422,0.42,0.403,0.388,0.359,0.321,0.27,0.21,0.155,0.121,0.098,0.091,0.102,0.124,0.148,0.134,0.17,0.206,0.217,0.227,1
6497,0.283,0.3,0.316,0.334,0.344,0.349,0.344,0.318,0.287,0.275,0.235,0.212,0.197,0.176,0.151,0.122,0.12,0.123,0.124,0.147,0.181,0.191,0.223,0.239,1
