hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,cluster,tsne_1,tsne_2,index,station_id,name,lat,lon,capacity,station_code,_dlt_load_id,_dlt_id,rental_methods
0.462,0.448,0.431,0.424,0.437,0.435,0.438,0.437,0.434,0.444,0.478,0.533,0.601,0.711,0.792,0.842,0.871,0.833,0.779,0.734,0.734,0.708,0.635,0.583,3,30.575878,-20.392004,1087.0,6245,Ventadour - Opéra,48.866810653323,2.3343884482519,27.0,1116,1745738711.4785318,LFb+0AYnVjTK0Q,CREDITCARD
0.316,0.291,0.286,0.269,0.262,0.258,0.263,0.275,0.275,0.268,0.307,0.351,0.384,0.408,0.42,0.473,0.547,0.55,0.543,0.522,0.513,0.51,0.504,0.478,5,6.828327,-14.774429,1081.0,6293,Mairie du 2ème,48.8672190355135,2.3404625437747044,28.0,2008,1745738711.4785318,dnbYHcmD3Xpx6A,
0.483,0.435,0.364,0.328,0.313,0.311,0.334,0.344,0.376,0.433,0.535,0.613,0.671,0.714,0.774,0.813,0.849,0.819,0.756,0.639,0.589,0.583,0.558,0.516,3,23.947922,-22.182655,779.0,6294,Marché aux fleurs,48.855258115391,2.3473754525185,23.0,4002,1745738711.4785318,SuRVITSJ/OrSSw,CREDITCARD
0.738,0.714,0.631,0.603,0.586,0.581,0.581,0.576,0.572,0.608,0.696,0.728,0.746,0.773,0.78,0.807,0.864,0.886,0.848,0.774,0.79,0.797,0.785,0.748,4,43.082466,-18.185307,745.0,6295,Pontoise - La Tournelle,48.850458009188,2.3524542754922,23.0,5107,1745738711.4785318,YEUOjZBfMb6KGg,CREDITCARD
0.549,0.515,0.476,0.465,0.455,0.46,0.469,0.456,0.491,0.548,0.626,0.68,0.716,0.771,0.802,0.832,0.85,0.789,0.674,0.626,0.635,0.63,0.582,0.57,3,28.84533,-20.413925,92.0,6296,Institut de France,48.857615678565,2.3358313530377,17.0,6001,1745738711.4785318,SuhxHl1CGqHk4g,CREDITCARD
0.455,0.325,0.194,0.149,0.11,0.097,0.109,0.108,0.119,0.131,0.138,0.153,0.173,0.2,0.217,0.189,0.176,0.197,0.272,0.323,0.416,0.509,0.505,0.444,1,-11.474023,-20.265303,1132.0,6297,Victor Massé - Jean-Baptiste Pigalle,48.8811043724,2.3366955667734,18.0,9019,1745738711.4785318,llAKXyQkCLp8LA,
0.214,0.225,0.223,0.218,0.242,0.257,0.267,0.259,0.264,0.277,0.293,0.272,0.225,0.191,0.182,0.152,0.118,0.097,0.1,0.096,0.105,0.128,0.153,0.179,1,-40.37722,1.9360135,920.0,6298,Gare du Nord - Saint-Vincent de Paul,48.880955741648,2.3524305148385,24.0,10033,1745738711.4785318,jbUPqkzcj6FYkA,
0.555,0.488,0.383,0.325,0.312,0.301,0.304,0.309,0.3,0.322,0.429,0.638,0.77,0.855,0.911,0.923,0.922,0.881,0.811,0.698,0.64,0.612,0.582,0.527,3,27.844357,-26.328562,1072.0,6352,Saint-Bon - Rivoli,48.857999643315,2.3502172809763,19.0,4018,1745738711.4785318,Vjp3unj8MLWLkw,
0.491,0.512,0.534,0.563,0.566,0.558,0.554,0.554,0.555,0.563,0.568,0.548,0.532,0.542,0.559,0.552,0.513,0.506,0.5,0.486,0.498,0.499,0.498,0.5,2,25.758303,3.6809416,1213.0,6354,Gouthière - Poterne des Peupliers,48.820507,2.351342,33.0,13028,1745738711.4785318,S8wRxQdbhlUqBA,
0.283,0.331,0.391,0.432,0.431,0.409,0.382,0.348,0.313,0.267,0.252,0.224,0.188,0.171,0.162,0.165,0.185,0.185,0.187,0.203,0.233,0.26,0.264,0.259,5,-19.080187,19.549213,351.0,6385,Petit - Manin,48.88650687534334,2.3938155401308374,22.0,19019,1745738711.4785318,IJpkDCwEW9HZrg,CREDITCARD
